id,initial_situation,first_transition_situation,first_transition_emotion,second_transition_situation,second_transition_emotion
1,Покупка лотерейного билета,Выигрыш автомобиля,Радость,Путешествие на новом авто,Восторг
1,Покупка лотерейного билета,Проигрыш (ничего не выиграл),Разочарование,Попытка купить еще билетов,Надежда
2,Участие в марафоне,Получение медали,Радость,Празднование с друзьями,Восторг
2,Участие в марафоне,Неудача на финише,Разочарование,Участие в следующем марафоне,Надежда
3,Получение диплома,Начало новой работы,Восторг,Повышение на работе,Радость
3,Получение диплома,Безработица,Разочарование,Поиск временной работы,Удовлетворение
4,Празднование дня рождения,Получение подарков,Радость,Празднование с семьей,Восторг
4,Празднование дня рождения,Отсутствие гостей,Грусть,Просмотр любимого фильма,Удовлетворение
5,Выигрыш в лотерею,Покупка нового дома,Восторг,Переезд в новый дом,Радость
5,Выигрыш в лотерею,Потеря денег,Ужас,Занятие финансовым планированием,Надежда
6,Поездка на море,Наслаждение пляжем,Восторг,Заведение новых друзей,Радость
6,Поездка на море,Плохая погода,Разочарование,Посещение музея,Удовлетворение
7,Получение новой работы,Повышение зарплаты,Удовлетворение,Покупка нового автомобиля,Радость
7,Получение новой работы,Сложные обязанности,Стресс,Успешное завершение проекта,Удовлетворение
8,Переезд в новый дом,Празднование новоселья,Радость,Приглашение друзей,Восторг
8,Переезд в новый дом,Поломка бытовой техники,Досада,Покупка новой техники,Удовлетворение
9,Начало собственного бизнеса,Успех бизнеса,Радость,Расширение бизнеса,Восторг
9,Начало собственного бизнеса,Провал бизнеса,Разочарование,Начало нового бизнеса,Надежда
10,Публикация книги,Положительные отзывы,Удовлетворение,Награждение за книгу,Радость
10,Публикация книги,Негативные отзывы,Разочарование,Работа над новой книгой,Надежда
11,Путешествие в другую страну,Новые впечатления,Восторг,Фотографирование достопримечательностей,Радость
11,Путешествие в другую страну,Потеря документов,Ужас,Получение помощи от посольства,Удовлетворение
12,Участие в соревнованиях,Победа в соревнованиях,Радость,Получение медали,Восторг
12,Участие в соревнованиях,Проигрыш в соревнованиях,Разочарование,Начало тренировок,Надежда
13,Получение наследства,Покупка недвижимости,Радость,Переезд в новый дом,Восторг
13,Получение наследства,Разделение наследства с родственниками,Стресс,Мирное урегулирование,Удовлетворение
14,Начало учебы в университете,Успех в учебе,Удовлетворение,Получение стипендии,Радость
14,Начало учебы в университете,Проблемы с учебой,Стресс,Получение помощи от преподавателя,Удовлетворение
15,Получение премии на работе,Празднование с семьей,Радость,Покупка подарков,Восторг
15,Получение премии на работе,Зависть коллег,Зависть,Урегулирование конфликта,Удовлетворение
16,Рождение ребенка,Счастье в семье,Восторг,Первые шаги ребенка,Радость
16,Рождение ребенка,Бессонные ночи,Усталость,Помощь от родственников,Удовлетворение
17,Потеря работы,Получение новой работы,Надежда,Успешное начало на новой работе,Радость
17,Потеря работы,Длительный поиск работы,Стресс,Переобучение новой профессии,Удовлетворение
18,Выигрыш спортивной команды,Празднование победы,Радость,Получение награды,Восторг
18,Выигрыш спортивной команды,Травма игрока,Грусть,Получение поддержки от команды,Удовлетворение
19,Покупка нового автомобиля,Дальняя поездка,Восторг,Посещение нового города,Радость
19,Покупка нового автомобиля,Поломка автомобиля,Досада,Успешный ремонт,Удовлетворение
20,Начало ремонта дома,Завершение ремонта,Удовлетворение,Празднование новоселья,Радость
20,Начало ремонта дома,Нехватка средств,Стресс,Получение кредита,Надежда
21,Переезд за границу,Новые впечатления,Восторг,Изучение языка,Радость
21,Переезд за границу,Сложности адаптации,Стресс,Получение помощи от местных,Удовлетворение
22,Возвращение из командировки,Встреча с семьей,Радость,Праздничный ужин,Восторг
22,Возвращение из командировки,Усталость от работы,Усталость,Выходной день,Удовлетворение
23,Получение кредита,Покупка недвижимости,Радость,Переезд в новый дом,Восторг
23,Получение кредита,Долговая нагрузка,Стресс,Планирование бюджета,Удовлетворение
24,Окончание университета,Получение диплома,Радость,Начало новой работы,Восторг
24,Окончание университета,Поиск работы,Стресс,Получение временной работы,Надежда
25,Организация вечеринки,Успешное мероприятие,Удовлетворение,Благодарности от гостей,Радость
25,Организация вечеринки,Проблемы с гостями,Стресс,Решение конфликтов,Удовлетворение
26,Посещение концерта,Наслаждение музыкой,Восторг,Встреча с артистом,Радость
26,Посещение концерта,Плохое качество звука,Разочарование,Посещение другого концерта,Надежда
27,Начало нового проекта,Успех проекта,Радость,Получение премии,Восторг
27,Начало нового проекта,Трудности в проекте,Стресс,Успешное завершение,Удовлетворение
28,Получение письма от старого друга,Встреча с другом,Радость,Воспоминания о прошлом,Ностальгия
28,Получение письма от старого друга,Ностальгия,Грусть,Планирование встречи,Удовлетворение
29,Получение новой должности,Повышение зарплаты,Радость,Покупка нового жилья,Восторг
29,Получение новой должности,Сложные обязанности,Стресс,Успешное выполнение задач,Удовлетворение
30,Переезд в новый город,Новые возможности,Надежда,Получение новой работы,Радость
30,Переезд в новый город,Сложности адаптации,Стресс,Знакомство с новыми людьми,Удовлетворение
31,Рождение племянника,Празднование в семье,Радость,Первые шаги племянника,Восторг
31,Рождение племянника,Бессонные ночи,Усталость,Помощь от родственников,Удовлетворение
32,Проведение тренировки,Успех в тренировке,Удовлетворение,Похвала от тренера,Радость
32,Проведение тренировки,Травма во время тренировки,Грусть,Получение медицинской помощи,Удовлетворение
33,Сдача экзамена,Получение отличной оценки,Радость,Похвала от преподавателя,Восторг
33,Сдача экзамена,Неудовлетворительная оценка,Разочарование,Подготовка к пересдаче,Надежда
34,Организация свадьбы,Успешное проведение свадьбы,Радость,Путешествие в медовый месяц,Восторг
34,Организация свадьбы,Проблемы с организацией,Стресс,Успешное решение проблем,Удовлетворение
35,Начало отпуска,Новые впечатления,Радость,Посещение достопримечательностей,Восторг
35,Начало отпуска,Проблемы с перелетом,Стресс,Успешное прибытие,Удовлетворение
36,Завершение ремонта дома,Празднование новоселья,Радость,Приглашение друзей,Восторг
36,Завершение ремонта дома,Остаток долга,Стресс,Планирование бюджета,Удовлетворение
37,Начало курса по саморазвитию,Успех в курсе,Радость,Получение сертификата,Восторг
37,Начало курса по саморазвитию,Трудности в обучении,Стресс,Получение помощи от преподавателя,Удовлетворение
38,Организация вечеринки,Успех мероприятия,Радость,Благодарности от гостей,Восторг
38,Организация вечеринки,Проблемы с гостями,Стресс,Урегулирование конфликтов,Удовлетворение
39,Покупка нового автомобиля,Дальняя поездка,Радость,Посещение нового города,Восторг
39,Покупка нового автомобиля,Поломка автомобиля,Досада,Успешный ремонт,Удовлетворение
40,Окончание отпуска,Возвращение на работу,Стресс,Встреча с коллегами,Радость
40,Окончание отпуска,Разбор почты,Досада,Успешное завершение работы,Удовлетворение
41,Празднование нового года,Семейный ужин,Радость,Получение подарков,Восторг
41,Празднование нового года,Ссора с родственником,Грусть,Урегулирование конфликта,Удовлетворение
42,Выигрыш в казино,Празднование выигрыша,Радость,Инвестиции,Надежда
42,Выигрыш в казино,Потеря выигрыша,Разочарование,Занятие финансовым планированием,Удовлетворение
43,Участие в благотворительности,Помощь нуждающимся,Удовлетворение,Признание общества,Радость
43,Участие в благотворительности,Негативные отзывы,Разочарование,Работа над улучшением,Надежда
44,Потеря домашнего животного,Возвращение животного,Радость,Получение помощи от соседей,Удовлетворение
44,Потеря домашнего животного,Безуспешные поиски,Грусть,Заведение нового питомца,Надежда
45,Написание книги,Публикация книги,Радость,Положительные отзывы,Восторг
45,Написание книги,Отказ издательства,Разочарование,Работа над новой книгой,Надежда
46,Смена работы,Получение новой должности,Радость,Повышение зарплаты,Восторг
46,Смена работы,Проблемы с адаптацией,Стресс,Успешное выполнение задач,Удовлетворение
47,Переезд в новый дом,Знакомство с соседями,Радость,Приглашение на ужин,Восторг
47,Переезд в новый дом,Проблемы с коммуникациями,Стресс,Успешное решение проблем,Удовлетворение
48,Начало нового проекта,Успех проекта,Радость,Получение премии,Восторг
48,Начало нового проекта,Трудности в реализации,Стресс,Успешное завершение проекта,Удовлетворение
49,Получение кредита,Покупка недвижимости,Радость,Переезд в новый дом,Восторг
49,Получение кредита,Финансовые обязательства,Стресс,Планирование бюджета,Удовлетворение
50,Ремонт автомобиля,Успешный ремонт,Радость,Планирование поездки,Восторг
50,Ремонт автомобиля,Дорогие запчасти,Досада,Успешное завершение ремонта,Удовлетворение
51,Участие в телешоу,Победа в конкурсе,Восторг,Получение главного приза,Радость
51,Участие в телешоу,Проигрыш в конкурсе,Разочарование,Приглашение на другое шоу,Надежда
52,Открытие ресторана,Успешный первый день,Радость,Положительные отзывы клиентов,Восторг
52,Открытие ресторана,Проблемы с персоналом,Стресс,Успешное решение конфликтов,Удовлетворение
53,Участие в марафоне,Установление личного рекорда,Восторг,Получение медали,Радость
53,Участие в марафоне,Травма во время забега,Разочарование,Успешное восстановление,Надежда
54,Покупка акций,Рост стоимости акций,Радость,Получение дивидендов,Восторг
54,Покупка акций,Падение стоимости акций,Стресс,Диверсификация портфеля,Надежда
55,Защита диссертации,Успешная защита,Радость,Получение научной степени,Восторг
55,Защита диссертации,Отклонение работы,Разочарование,Доработка исследования,Надежда
56,Участие в кулинарном конкурсе,Победа в конкурсе,Восторг,Публикация рецепта в журнале,Радость
56,Участие в кулинарном конкурсе,Неудачное блюдо,Разочарование,Обучение новым техникам,Надежда
57,Запуск онлайн-курса,Большое количество учеников,Радость,Положительные отзывы,Восторг
57,Запуск онлайн-курса,Технические проблемы,Стресс,Успешное решение проблем,Удовлетворение
58,Участие в художественной выставке,Продажа всех картин,Восторг,Приглашение на новую выставку,Радость
58,Участие в художественной выставке,Отсутствие интереса к работам,Разочарование,Создание новой серии картин,Надежда
59,Запуск стартапа,Получение инвестиций,Радость,Расширение команды,Восторг
59,Запуск стартапа,Отказ инвесторов,Разочарование,Поиск новых источников финансирования,Надежда
60,Участие в танцевальном конкурсе,Победа в конкурсе,Восторг,Приглашение в профессиональную труппу,Радость
60,Участие в танцевальном конкурсе,Падение во время выступления,Стыд,Интенсивные тренировки,Надежда
61,Покупка дачного участка,Строительство дома,Радость,Первый урожай,Восторг
61,Покупка дачного участка,Проблемы с соседями,Стресс,Мирное урегулирование конфликта,Удовлетворение
62,Участие в шахматном турнире,Победа над гроссмейстером,Восторг,Повышение рейтинга,Радость
62,Участие в шахматном турнире,Проигрыш в первом туре,Разочарование,Анализ ошибок,Надежда
63,Открытие интернет-магазина,Первые продажи,Радость,Расширение ассортимента,Восторг
63,Открытие интернет-магазина,Технические сбои,Стресс,Улучшение работы сайта,Удовлетворение
64,Участие в реалити-шоу,Дойти до финала,Восторг,Получение контракта,Радость
64,Участие в реалити-шоу,Вылет в первом туре,Разочарование,Получение популярности в соцсетях,Удовлетворение
65,Написание сценария,Продажа сценария студии,Радость,Начало съемок фильма,Восторг
65,Написание сценария,Отказ всех студий,Разочарование,Доработка сценария,Надежда
66,Участие в научной конференции,Лучший доклад,Восторг,Публикация в престижном журнале,Радость
66,Участие в научной конференции,Критика исследования,Стресс,Получение новых идей,Надежда
67,Открытие кофейни,Очереди клиентов,Радость,Открытие второй точки,Восторг
67,Открытие кофейни,Низкая посещаемость,Разочарование,Изменение концепции,Надежда
68,Участие в модном показе,Предложение контракта,Восторг,Съемка для обложки журнала,Радость
68,Участие в модном показе,Падение на подиуме,Стыд,Успешное выступление на следующем показе,Удовлетворение
69,Запись музыкального альбома,Успех первого сингла,Радость,Организация тура,Восторг
69,Запись музыкального альбома,Критика музыкальных экспертов,Разочарование,Работа над новым звучанием,Надежда
70,Участие в кибертурнире,Победа команды,Восторг,Получение спонсорского контракта,Радость
70,Участие в кибертурнире,Проигрыш в финале,Разочарование,Интенсивные тренировки,Надежда
71,Открытие йога-студии,Аншлаг на занятиях,Радость,Расширение программы,Восторг
71,Открытие йога-студии,Отсутствие клиентов,Стресс,Проведение бесплатных мастер-классов,Надежда
72,Участие в фотоконкурсе,Главный приз,Восторг,Персональная выставка,Радость
72,Участие в фотоконкурсе,Отсутствие призового места,Разочарование,Изучение новых техник,Надежда
73,Запуск подкаста,Рост числа подписчиков,Радость,Приглашение известного гостя,Восторг
73,Запуск подкаста,Негативные комментарии,Стресс,Улучшение качества контента,Надежда
74,Участие в литературном конкурсе,Публикация рассказа,Радость,Предложение написать книгу,Восторг
74,Участие в литературном конкурсе,Отказ в публикации,Разочарование,Посещение писательских курсов,Надежда
75,Открытие ветеринарной клиники,Успешное лечение сложного случая,Радость,Расширение клиники,Восторг
75,Открытие ветеринарной клиники,Жалобы клиентов,Стресс,Повышение квалификации персонала,Надежда
76,Участие в экологической акции,Очистка парка,Удовлетворение,Награда от мэрии,Радость
76,Участие в экологической акции,Малое количество участников,Разочарование,Организация масштабной кампании,Надежда
77,Запуск YouTube-канала,Получение серебряной кнопки,Восторг,Сотрудничество с брендами,Радость
77,Запуск YouTube-канала,Отсутствие просмотров,Разочарование,Изменение формата видео,Надежда
78,Участие в археологической экспедиции,Важное историческое открытие,Восторг,Публикация в научном журнале,Радость
78,Участие в археологической экспедиции,Отсутствие находок,Разочарование,Продолжение исследований,Надежда
79,Открытие автомастерской,Большой поток клиентов,Радость,Расширение спектра услуг,Восторг
79,Открытие автомастерской,Ошибка в ремонте,Стресс,Успешное решение проблемы,Удовлетворение
80,Участие в шоу талантов,Выход в финал,Восторг,Подписание контракта с продюсером,Радость
80,Участие в шоу талантов,Вылет на первом этапе,Разочарование,Продолжение развития таланта,Надежда
81,Запуск мобильного приложения,Миллион скачиваний,Восторг,Получение инвестиций,Радость
81,Запуск мобильного приложения,Низкие оценки пользователей,Стресс,Выпуск обновления,Надежда
82,Участие в гастрономическом фестивале,Победа в номинации,Радость,Приглашение на телешоу,Восторг
82,Участие в гастрономическом фестивале,Порча блюда,Разочарование,Создание нового рецепта,Надежда
83,Открытие школы иностранных языков,Набор полных групп,Радость,Открытие филиала,Восторг
83,Открытие школы иностранных языков,Отток студентов,Стресс,Внедрение новой методики обучения,Надежда
84,Участие в благотворительном забеге,Сбор большой суммы,Радость,Помощь нуждающимся,Удовлетворение
84,Участие в благотворительном забеге,Травма во время забега,Разочарование,Поддержка от других участников,Благодарность
85,Запуск онлайн-магазина одежды,Первые продажи,Радость,Коллаборация с дизайнером,Восторг
85,Запуск онлайн-магазина одежды,Проблемы с поставщиками,Стресс,Нахождение новых партнеров,Удовлетворение
86,Участие в дебатах,Победа в турнире,Восторг,Приглашение в политическую партию,Радость
86,Участие в дебатах,Проигрыш оппоненту,Разочарование,Анализ ошибок и подготовка к новым дебатам,Надежда
87,Открытие букинистического магазина,Нахождение редкой книги,Восторг,Продажа коллекционеру,Радость
87,Открытие букинистического магазина,Отсутствие покупателей,Стресс,Организация литературных вечеров,Надежда
88,Участие в конкурсе стартапов,Победа и получение гранта,Восторг,Реализация проекта,Радость
88,Участие в конкурсе стартапов,Отказ в финансировании,Разочарование,Доработка бизнес-плана,Надежда
89,Запуск подкаста о путешествиях,Приглашение известного путешественника,Радость,Спонсорство туристической компании,Восторг
89,Запуск подкаста о путешествиях,Технические проблемы с записью,Стресс,Улучшение качества звука,Удовлетворение
90,Участие в парусной регате,Победа в гонке,Восторг,Получение спортивного разряда,Радость
90,Участие в парусной регате,Поломка яхты,Разочарование,Успешный ремонт и продолжение гонки,Надежда
91,Открытие студии йоги,Полные группы на занятиях,Радость,Открытие второй студии,Восторг
91,Открытие студии йоги,Травма клиента,Стресс,Внедрение дополнительных мер безопасности,Удовлетворение
92,Участие в конкурсе барист,Создание авторского напитка,Восторг,Предложение работы в престижном кафе,Радость
92,Участие в конкурсе барист,Ошибка в приготовлении,Разочарование,Интенсивная практика,Надежда
93,Запуск канала на Twitch,Первые донаты,Радость,Партнерство с платформой,Восторг
93,Запуск канала на Twitch,Технические проблемы со стримом,Стресс,Улучшение оборудования,Удовлетворение
94,Участие в конкурсе красоты,Победа в номинации,Восторг,Подписание контракта с модельным агентством,Радость
94,Участие в конкурсе красоты,Неудачное выступление,Разочарование,Работа над собой,Надежда
95,Открытие школы программирования,Успешное трудоустройство выпускников,Радость,Расширение программы курсов,Восторг
95,Открытие школы программирования,Отток студентов,Стресс,Обновление учебной программы,Надежда
96,Запись на курсы по программированию,Успешное завершение курсов,Радость,Получение новой работы,Восторг
96,Запись на курсы по программированию,Сложности в обучении,Стресс,Получение помощи от наставника,Удовлетворение
97,Приготовление семейного ужина,Удачный ужин,Радость,Благодарности от семьи,Восторг
97,Приготовление семейного ужина,Проблемы с рецептом,Разочарование,Получение помощи от друзей,Удовлетворение
98,Начало фитнес-программы,Первые успехи,Радость,Улучшение здоровья,Восторг
98,Начало фитнес-программы,Травма на тренировке,Ужас,Восстановление с помощью физиотерапии,Удовлетворение
99,Покупка билетов на концерт,Посещение концерта,Восторг,Встреча с артистом,Радость
99,Покупка билетов на концерт,Отмена концерта,Разочарование,Получение возврата и покупка новых билетов,Надежда
100,Путешествие в другую страну,Новые впечатления,Восторг,Создание фотоальбома,Радость
100,Путешествие в другую страну,Потеря багажа,Стресс,Получение багажа обратно,Удовлетворение
101,Покупка нового телефона,Успешная настройка,Радость,Использование новых функций,Восторг
101,Покупка нового телефона,Неисправность телефона,Разочарование,Замена телефона по гарантии,Удовлетворение
102,Запись в спортзал,Первая тренировка,Радость,Прогресс в тренировках,Восторг
102,Запись в спортзал,Травма во время тренировки,Ужас,Восстановление с помощью врача,Удовлетворение
103,Покупка новой одежды,Получение комплиментов,Радость,Уверенность в себе,Восторг
103,Покупка новой одежды,Неподходящий размер,Разочарование,Обмен на нужный размер,Удовлетворение
104,Организация пикника,Удачное мероприятие,Радость,Благодарность от друзей,Восторг
104,Организация пикника,Плохая погода,Разочарование,Перенос пикника на другой день,Надежда
105,Посещение музея,Интересная экскурсия,Радость,Изучение истории,Восторг
105,Посещение музея,Скучная экскурсия,Разочарование,Посещение другого музея,Надежда
106,Участие в волонтерском проекте,Помощь нуждающимся,Удовлетворение,Признание со стороны организации,Радость
106,Участие в волонтерском проекте,Сложности в организации,Стресс,Решение проблем и достижение успеха,Удовлетворение
107,Начало изучения нового языка,Первые успехи,Радость,Свободное общение,Восторг
107,Начало изучения нового языка,Сложности в обучении,Стресс,Получение помощи от преподавателя,Удовлетворение
108,Посадка дерева,Рост дерева,Радость,Плодоношение,Восторг
108,Посадка дерева,Сухое дерево,Разочарование,Посадка нового дерева,Надежда
109,Посещение ресторана,Вкусная еда,Радость,Обсуждение с друзьями,Восторг
109,Посещение ресторана,Плохое обслуживание,Разочарование,Поход в другой ресторан,Надежда
110,Покупка велосипеда,Первые поездки,Радость,Участие в велопробеге,Восторг
110,Покупка велосипеда,Поломка велосипеда,Разочарование,Успешный ремонт,Удовлетворение
111,Посещение выставки,Вдохновение от искусства,Радость,Создание собственного произведения,Восторг
111,Посещение выставки,Непонравившиеся экспонаты,Разочарование,Посещение другой выставки,Надежда
112,Начало диеты,Первые результаты,Радость,Достижение цели,Восторг
112,Начало диеты,Срыв диеты,Разочарование,Возвращение к диете,Надежда
113,Получение водительских прав,Первые поездки,Радость,Путешествие на автомобиле,Восторг
113,Получение водительских прав,Авария,Ужас,Успешное восстановление автомобиля,Удовлетворение
114,Посещение театра,Интересное представление,Радость,Обсуждение с друзьями,Восторг
114,Посещение театра,Скучное представление,Разочарование,Посещение другого спектакля,Надежда
115,Начало учебы в школе,Первые успехи,Радость,Получение награды,Восторг
115,Начало учебы в школе,Проблемы с одноклассниками,Стресс,Урегулирование конфликтов,Удовлетворение
116,Путешествие на поезде,Новые впечатления,Радость,Фотографии пейзажей,Восторг
116,Путешествие на поезде,Опоздание на поезд,Стресс,Покупка новых билетов,Удовлетворение
117,Участие в кулинарном конкурсе,Победа в конкурсе,Радость,Получение приза,Восторг
117,Участие в кулинарном конкурсе,Проигрыш,Разочарование,Участие в следующем конкурсе,Надежда
118,Покупка музыкального инструмента,Изучение игры,Радость,Участие в концерте,Восторг
118,Покупка музыкального инструмента,Сложности в обучении,Стресс,Получение уроков от преподавателя,Удовлетворение
119,Участие в научной конференции,Успешное выступление,Радость,Получение награды,Восторг
119,Участие в научной конференции,Провал выступления,Разочарование,Подготовка к следующей конференции,Надежда
120,Начало работы над проектом,Успешное завершение,Радость,Получение премии,Восторг
120,Начало работы над проектом,Сложности в работе,Стресс,Успешное решение проблем,Удовлетворение
121,Посадка цветов,Цветение,Радость,Создание цветника,Восторг
121,Посадка цветов,Засохшие цветы,Разочарование,Посадка новых цветов,Надежда
122,Покупка домашних животных,Радость от общения,Радость,Забота о питомцах,Восторг
122,Покупка домашних животных,Аллергия,Разочарование,Поиск новых хозяев для животных,Надежда
123,Посещение парка развлечений,Катание на аттракционах,Радость,Встреча с друзьями,Восторг
123,Посещение парка развлечений,Закрытие аттракционов,Разочарование,Поход в другой парк,Надежда
124,Начало работы в саду,Урожай,Радость,Приготовление блюд из собранного урожая,Восторг
124,Начало работы в саду,Плохая погода,Разочарование,Уход за растениями,Удовлетворение
125,Посещение ярмарки,Покупка сувениров,Радость,Обсуждение с друзьями,Восторг
125,Посещение ярмарки,Потеря кошелька,Стресс,Получение помощи от охраны,Удовлетворение
126,Участие в дебатах,Победа в дебатах,Радость,Получение награды,Восторг
126,Участие в дебатах,Проигрыш в дебатах,Разочарование,Подготовка к следующему конкурсу,Надежда
127,Посещение курса по фотографии,Создание портфолио,Радость,Выставка фотографий,Восторг
127,Посещение курса по фотографии,Сложности с техникой,Разочарование,Получение помощи от инструктора,Удовлетворение
128,Покупка нового компьютера,Настройка и использование,Радость,Создание проектов,Восторг
128,Покупка нового компьютера,Неисправность,Разочарование,Замена по гарантии,Удовлетворение
129,Посещение спортивного мероприятия,Поддержка команды,Радость,Празднование победы,Восторг
129,Посещение спортивного мероприятия,Проигрыш команды,Разочарование,Поддержка команды,Надежда
130,Покупка новой мебели,Успешная сборка,Радость,Украшение интерьера,Восторг
130,Покупка новой мебели,Проблемы со сборкой,Стресс,Получение помощи от друзей,Удовлетворение
131,Начало рисования,Создание первой картины,Радость,Выставка работ,Восторг
131,Начало рисования,Трудности с техникой,Разочарование,Уроки у художника,Удовлетворение
132,Посещение курсов танцев,Первое выступление,Радость,Участие в конкурсе,Восторг
132,Посещение курсов танцев,Травма на занятиях,Стресс,Восстановление и возвращение к занятиям,Удовлетворение
133,Начало учёбы в колледже,Первые успехи,Радость,Получение стипендии,Восторг
133,Начало учёбы в колледже,Сложности с обучением,Стресс,Получение помощи от преподавателей,Удовлетворение
134,Покупка билетов на кино,Посещение премьеры,Радость,Обсуждение фильма с друзьями,Восторг
134,Покупка билетов на кино,Отмена сеанса,Разочарование,Получение новых билетов,Надежда
135,Участие в марафоне,Финиширование,Радость,Получение медали,Восторг
135,Участие в марафоне,Травма на трассе,Ужас,Восстановление с помощью врача,Удовлетворение
136,Посещение аквапарка,Катание на горках,Радость,Фотографии с друзьями,Восторг
136,Посещение аквапарка,Очередь на аттракционы,Разочарование,Посещение в будний день,Надежда
137,Участие в художественном конкурсе,Победа в конкурсе,Радость,Получение приза,Восторг
137,Участие в художественном конкурсе,Проигрыш,Разочарование,Подготовка к следующему конкурсу,Надежда
138,Посещение мастер-класса,Создание изделия,Радость,Показ работы на выставке,Восторг
138,Посещение мастер-класса,Сложности с техникой,Разочарование,Получение помощи от инструктора,Удовлетворение
139,Покупка садовых инструментов,Успешное использование,Радость,Создание красивого сада,Восторг
139,Покупка садовых инструментов,Поломка инструмента,Разочарование,Получение нового по гарантии,Удовлетворение
140,Организация праздника,Удачное мероприятие,Радость,Благодарности от гостей,Восторг
140,Организация праздника,Проблемы с организацией,Стресс,Успешное решение проблем,Удовлетворение
141,Посещение спортивного матча,Победа команды,Радость,Празднование с болельщиками,Восторг
141,Посещение спортивного матча,Проигрыш команды,Разочарование,Поддержка команды,Надежда
142,Начало йоги,Первые успехи,Радость,Улучшение самочувствия,Восторг
142,Начало йоги,Сложности с позами,Стресс,Получение помощи от инструктора,Удовлетворение
143,Покупка новой камеры,Первые фотографии,Радость,Создание фотоальбома,Восторг
143,Покупка новой камеры,Неисправность камеры,Разочарование,Ремонт по гарантии,Удовлетворение
144,Участие в фотосессии,Удачные фотографии,Радость,Получение положительных отзывов,Восторг
144,Участие в фотосессии,Проблемы с оборудованием,Разочарование,Успешное решение проблем,Удовлетворение
145,Начало шитья,Создание первой вещи,Радость,Получение комплиментов,Восторг
145,Начало шитья,Сложности с материалом,Разочарование,Получение помощи от мастера,Удовлетворение
146,Посещение тренинга,Получение новых знаний,Радость,Применение знаний на практике,Восторг
146,Посещение тренинга,Сложности с пониманием,Стресс,Получение помощи от тренера,Удовлетворение
147,Покупка новых книг,Чтение первой книги,Радость,Обсуждение с друзьями,Восторг
147,Покупка новых книг,Неинтересная книга,Разочарование,Чтение другой книги,Надежда
148,Начало изучения кулинарии,Первые удачные блюда,Радость,Получение комплиментов,Восторг
148,Начало изучения кулинарии,Неудачные блюда,Разочарование,Получение помощи от повара,Удовлетворение
149,Покупка нового велосипеда,Первые поездки,Радость,Участие в велопробеге,Восторг
149,Покупка нового велосипеда,Поломка велосипеда,Разочарование,Ремонт по гарантии,Удовлетворение
150,Посещение фестиваля,Удачное мероприятие,Радость,Создание альбома фотографий,Восторг
150,Посещение фестиваля,Плохая организация,Разочарование,Участие в другом фестивале,Надежда
